pali,pos,grammar,derived from,neg,verb,meaning,category,stem,pattern,same pali,same meaning
govata,nt,nt,,,,"the “cow practice”, behavior as of a cow (a practice of certain ascetics)",ncped,govat,a nt,1,0
govatika,adj,adj,,,,"observing the “cow practice”, one who lives or behaves like a cow",ncped,govatik,a adj,1,1
gu??gu??hikaj?ta,adj,adj,,,,become enveloped in a tangled ball; knotted in ball; in a tangle of threads,ncped,gu??gu??hikaj?t,a adj,1,1
gu?api??a,masc,masc,,,,a lump of sugar,ncped,j?m?tar,a masc,1,1
gulasi,fem,fem,,,,a kind of plant,ncped,gulas,i fem,1,2
gu?av?kala,adj,adj,,,,with a thick (or knotted? or matted?) fringe,ncped,gu?av?kal,a adj,1,0
g??haka,adj,adj,,,,hidden; secret,ncped,g??hak,a adj,1,1
gumbiya,masc,masc,,,,one of a troop of soldiers; a guard,ncped,j?tivibha?g,a masc,1,1
gu?aka,nt,nt,,,,stitching to strengthen the edge of a belt,ncped,gu?ak,a nt,1,1
gu?avanta,adj,adj,,,,"possessed of good qualities or virtues; excellent, estimable",ncped,gu?avant,a adj,1,1
g?thabhast?,fem,fem,,,,a bag of dung,ncped,th??ik,? fem,1,1
g?thaniraya,masc,masc,,,,the excrement hell,ncped,j?vaj?vak,a masc,1,1
guyhamanta,masc,masc,,,,a secret or private discussion or plan,ncped,j?tisambhed,a masc,1,1
havya,nt,nt,,,,an oblation,ncped,havy,a nt,1,1
icch?dh?m?yita,adj,adj,"['icch?dh?p?yita', 'icch?']",,,"obscured, darkened by desire; pained by desire",ncped,icch?dh?m?yit,a adj,1,1
icchavacara,masc,masc,icch?,,,"a sphere of desire, domain of wishes",ncped,upassagg,a masc,1,1
icchavati??a,adj,adj,icch?,,,"affected by desires, by wants",ncped,icchavati??,a adj,1,1
idamatthika,adj,adj,ida?,,,being for this purpose,ncped,idamatthik,a adj,1,1
idamatthit?,fem,"fem, abstr","['idam-a??hit?', 'ida?']",,,needing (only) this; requiring the minimum,ncped,dussapalla??hik,? fem,1,0
idama??hit?,fem,"fem, abstr","['idam-atthit?', 'ida?']",,,needing (only) this; requiring the minimum,ncped,duvij?t,? fem,1,0
iddhabhisa?kh?ra,masc,masc,iddhi,,,exercise of supernatural power(s),ncped,upp??ak,a masc,1,0
iddhipahut?,fem,fem,iddhi,,,mastery of or possession of supernatural power(s),ncped,d?topasampad,? fem,1,0
iddhivikubbana,nt,nt,iddhi,,,a transformation effected by supernatural power(s); a display of magic,ncped,iddhivikubban,a nt,1,0
iddhivisavit?,fem,"fem, abstr",iddhi,,,"mastery of, possession of, supernatural power(s)",ncped,dhammacintan,? fem,1,0
?disaka,adj,adj,,,,of such a kind; like this,ncped,?disak,a adj,1,1
ikk?sa,masc,masc,,,,a sticky substance used to bind pigment,ncped,uparop,a masc,1,1
imin? up?yena,idiom,idiom,up?ya,,,"in this way, thus; by this means",ncped,!,imin? up?yena,1,3
i??d?na,nt,nt,i?a,,,"raising a loan, taking on a debt",ncped,i??d?n,a nt,1,1
i?agh?ta,masc,masc,i?a,,,one who does not pay his debts,ncped,upahatt,a masc,1,1
indagopakasañchanna,adj,adj,indagopaka,,,covered with indagopaka; (according to commentaries) covered with red grass,ncped,indagopakasañchann,a adj,1,0
indasagotta,adj,adj,inda,,,who has the same gotra as Inda,ncped,indasagott,a adj,1,1
indriyatta,nt,"nt, abstr",indriya,,,the sate of different degrees of development of the faculties,ncped,indriyatt,a nt,1,1
i?g?la,masc,masc,,,,charcoal; burning coal,ncped,upasamp?det,a masc,1,1
i?g?lakhu,fem,fem,i?g?la,,,a pit of burning coal,ncped,i?g?lakh,u fem,1,1
iri?a,nt,nt,,,,"desert, inhospitable region; barren or salt soil (also metaphor.",ncped,iri?,a nt,1,0
iriy?pathiya,adj,adj,iriy?,,,based on (good) conduct,ncped,iriy?pathiy,a adj,1,0
?sakapo?a,adj,adj,,,,"slanting slightly, at a slight angle",ncped,?sakapo?,a adj,1,1
?s?mukha,adj,adj,?s?,,,the top of a carriage-pole,ncped,?s?mukh,a adj,1,1
isik?,fem,fem,"['is?k?', '?sik?']",,,the inner part of a reed or stalk (used as an arrow shaft); a stalk of grass,ncped,dh?r?pasevan,? fem,1,0
is?k?,fem,fem,"['isik?', '?sik?']",,,the inner part of a reed or stalk (used as an arrow shaft); a stalk of grass,ncped,dhorayhavat,? fem,1,0
isisattama,adj,adj,,,,best of seers; or seventh of the isis,ncped,isisattam,a adj,1,1
iss?pakata,adj,adj,iss?,,,full of envy; jealous by nature,ncped,iss?pakat,a adj,1,1
issar?,fem,fem,,,,a mistress,ncped,dhovan,? fem,1,1
issarakutta,nt,nt,issara,,,the work of a god; creation by a god,ncped,issarakutt,a nt,1,1
issariyapariyos?na,adj,adj,issariya,,,whose ideal or aim is power or kingship,ncped,issariyapariyos?n,a adj,1,1
?t?,fem,fem,?ti,,,"calamity, affliction",ncped,?t,? fem,1,1
iti citi ca,idiom,idiom,iti,,,"in this way and that, thus and thus",ncped,!,iti citi ca,1,2
iti c?ti ca,idiom,idiom,iti,,,"in this way and that, thus and thus",ncped,!,iti c?ti ca,1,2
iti ha,idiom,idiom,"['itiha', 'iti']",,,thus indeed; so it seems; according to tradition,ncped,!,iti ha,1,1
itiv?dapamokkh?nisa?sa,adj,adj,iti,,,possessing or seeking the benefit of combating criticism,ncped,itiv?dapamokkh?nisa?s,a adj,2,1
itiv?dapamokkh?nisa?sa,masc,masc,iti,,,the benefit of combating criticism,ncped,up?hanapappo?hanasadd,a masc,2,1
ito cito ca,idiom,idiom,ito,,,from here and there; here and there,ncped,!,ito cito ca,1,1
ito nid?na,idiom,adj,ito,,,originating from this,ncped,!,ito nid?na,1,1
ito nid?na?,idiom,idiom,ito,,,as a consequence of this,ncped,!,ito nid?na?,1,1
ittarajacca,adj,adj,ittara,,,of inferior birth,ncped,ittarajacc,a adj,1,1
ittara?,ind,"ind, adv, acc sg of ",ittara,,,for a short time; briefly,ncped,-,,1,1
itthan?ma,adj,adj,ittha?,,,one having such and such a name; called so-and-so; so and so; such and such,ncped,itthan?m,a adj,1,1
itthantara,adj,adj,itthi,,,with a woman inside (?); with a woman driver (?),ncped,itthantar,a adj,1,0
itthibh?va,masc,masc,itthi,,,"the state of being a woman; femininity; birth, existence, as a woman",ncped,uppalagandhapaccatthik,a masc,1,1
itthikutta,nt,nt,itthi,,,"a female contriving, feminine wiles; a woman’s ways",ncped,itthikutt,a nt,1,1
itthipariggaha,masc,masc,itthi,,,women; wives,ncped,uposath?pav?s,a masc,1,1
itthipum?,masc,masc pl,itthi,,,male and female; men and women,ncped,itthipum,a masc pl,1,1
itthir?paka,nt,nt,itthi,,,the likeness of a woman,ncped,itthir?pak,a nt,1,1
itthiso???,fem,fem,itthi,,,a woman addicted to drink,ncped,itthiso??,? fem,1,1
itthiy?,fem,fem,itthik?,,,a woman; a mere woman,ncped,dukath,? fem,1,2
itthiyutta,adj,adj,itthi,,,yoked with a female animal (?),ncped,itthiyutt,a adj,1,0
jaganta,nt,nt,,,,living things; the world,ncped,jagant,a nt,1,1
jagatogadha,adj,adj,,,,immersed in the world,ncped,jagatogadh,a adj,1,1
jajjararathaka,masc,masc,,,,a decrepit carriage,ncped,dis???h,a masc,1,1
j?l?hatthap?da,adj,adj,,,,"with “netted” hands and feet, prob. with hands and feet marked with a network of lines (one of the 32 marks of a mah?purisa)",ncped,j?l?hatthap?d,a adj,1,0
j?lakaj?ta,adj,adj,,,,covered in small buds?,ncped,j?lakaj?t,a adj,1,0
j?lapacchanna,adj,adj,,,,covered by a net,ncped,j?lapacchann,a adj,1,1
j?l?sa?kh?ta,adj,adj,,,,(that) which is called a net,ncped,j?l?sa?kh?t,a adj,1,0
j?l?v?tap?na,nt,nt,,,,a lattice window or shutter,ncped,j?l?v?tap?n,a nt,1,1
jaleti,pr,"pr, caus of ",,,,sets light to; lights,ncped,jal,eti pr,1,1
ja?og?,fem,fem,,,,toddy; the non-fermented juice of the palm,ncped,ja?og,? fem,1,1
j?m?tara,masc,masc,,,,son-in-law,ncped,dohal,a masc,1,1
jambucoraka,masc,masc,,,,a rose apple thief,ncped,duvagg,a masc,1,1
jambud?paka,adj,adj,,,,belonging to jambud?pa,ncped,jambud?pak,a adj,1,1
jambup?laka,masc,masc,,,,a guardian of rose apple trees,ncped,dussapat,a masc,1,1
jammana,nt,nt,,,,birth,ncped,jamman,a nt,1,1
janapadatth?variyapatta,adj,adj,,,,"who has achieved stability in the country, whose country is stable; whose position is secure",ncped,janapadatth?variyapatt,a adj,1,1
janapadatudana,nt,nt,,,,hurt to the country,ncped,janapadatudan,a nt,1,1
j?napa?icchanna,adj,"adj, comp",,,,knowingly concealed,ncped,j?napa?icchann,a adj,1,1
janavanta,adj,adj,,,,crowded with people,ncped,janavant,a adj,2,1
janavanta,adj,adj,,,,filled with people,ncped,janavant,a adj,2,1
ja?gheyyaka,nt,nt,ja?gh?,,,the bottom section of a bhikkhu’s c?vara (the portion which hangs by the shins),ncped,ja?gheyyak,a nt,1,0
jan?,fem,fem,,,,"a woman, a wife",ncped,jan,? fem,1,1
jan?m?tar,fem,fem,,,,one’s birth mother,ncped,jan?m?t,ar fem,1,1
j?nipat?,masc,masc pl,,,,the wife and husband,ncped,j?nipat,? masc,1,1
jan?pitar,masc,masc,,,,one’s biological father,ncped,jan?pit,ar masc,1,1
jantagga,nt,nt,,,,a heated room,ncped,jantagg,a nt,1,1
j?nu,nt,nt,,,,the knee,ncped,j?n,u nt,1,2
j?nuka,nt,nt,,,,the knee,ncped,j?nuk,a nt,1,2
j?numa??ala,nt,nt,,,,the knee-cap; the knee,ncped,j?numa??al,a nt,1,1
jappa,masc,masc,,,,"idle talk, chatter",ncped,duggah,a masc,3,1
jappa,masc,masc,,,,"talk, speech",ncped,dukkhakkhand,a masc,3,1
jappa,nt,nt,,,,whispering; a muttered prayer or spell; a recitation of the Vedas,ncped,japp,a nt,3,1
japp?yan?,fem,fem,jappati,,,longing; desire,ncped,japp?yan,? fem,1,1
jar?ghara,masc,masc,,,,an old house,ncped,de??ubhak,a masc,1,1
jar?mara?asa?gh?ta,masc,masc,,,,"a meeting, a joining, of or with old age and death",ncped,de??ubhak,a masc,1,1
jarasakata,nt,nt,,,,an old cart,ncped,jarasakat,a nt,1,1
jarasig?la,masc,masc,,,,an old jackal; a wretc.hed jackal,ncped,d?tak,a masc,1,1
jarudapana,nt,nt,,,,"an old well, an abandoned well",ncped,jarudapan,a nt,1,1
ja?adharana,nt,nt,,,,wearing one’s hair in twisted locks,ncped,ja?adharan,a nt,1,1
ja?amissa,nt,nt,,,,twisted locks of hair,ncped,ja?amiss,a nt,1,1
ja?a?duva,nt,nt,,,,a roll of twisted hair,ncped,ja?a?duv,a nt,1,1
j?tar?papa?ir?paka,nt,nt,,,,false gold; what looks like gold (but is not),ncped,j?tar?papa?ir?pak,a nt,1,0
ja?? 1,adj,adj & masc/feminine,,,,"with matted hair, wearing one’s hair in twisted locks",ncped,ja? 1,? adj,1,1
ja?? 2,masc,masc,,,,an ascetic with twisted locks,ncped,ja?,? masc,1,1
j?tij?rama??ya,adj,adj,,,,"producing (further) birth, old age and death",ncped,j?tij?rama??y,a adj,1,0
j?tij?r?paga,adj,adj,,,,"undergoing birth, old age, and death; subject to birth, old age, and death",ncped,j?tij?r?pag,a adj,1,1
j?tij?r?pag?m?,adj,adj,,,,"undergoing birth, old age, and death",ncped,j?tij?r?pag?m,? adj,1,1
j?tij?tika,adj,adj,,,,"born, arising from, birth",ncped,j?tij?tik,a adj,1,1
j?tikhay?ntadass?,adj,adj,,,,"seeing the destruction of (re-) birth, or, seeing the destruction of birth and death",ncped,j?tikhay?ntadass,? adj,1,0
j?tisambheda,masc,masc,,,,a confusion of classes or rank; a contamination of class,ncped,devasadd,a masc,1,1
j?tithera,adj,adj,,,,"old, senior, from (time of) birth",ncped,j?tither,a adj,1,0
j?tivibha?ga,masc,masc,,,,the division or classification of species or kinds,ncped,devatuposath,a masc,1,1
j?tiya,adj,adj,,,,"being of such a kind, of such a class(?) or type of birth, class, lineage(?)",ncped,j?tiy,a adj,1,0
jatuka???,fem,fem,jatu,,,bat-eared,ncped,jatuka??,? fem,1,1
jayampat?,masc,masc pl,,,,husband and wife,ncped,jayampat,? masc,1,1
j?yatana,nt,"nt, abstr",j?y?,,,the state of being a wife; marriage,ncped,j?yatan,a nt,1,1
j?yik?,fem,fem,,,,a wife,ncped,nadik,? fem,1,1
je??h?pac?yit?,fem,"fem, abstr",,,,paying respect due respect to one’s elders,ncped,n?nadhimuttikat,? fem,1,1
jevan?ya,nt,nt,,,,a kind of (edged) weapon,ncped,jevan?y,a nt,1,0
jh?maka?u,masc,masc,,,,a burnt stump,ncped,jh?maka?,u masc,1,1
jh?n?jjh?yana,nt,nt,,,,practicing jh?nas,ncped,jh?n?jjh?yan,a nt,1,1
jh?n?nuyuta,adj,adj,,,,"devoting oneself to jh?na meditation, intent upon jh?na meditation",ncped,jh?n?nuyut,a adj,1,1
jh?nappasuta,adj,adj,,,,intent on jh?na meditation,ncped,jh?nappasut,a adj,1,1
jighacchanta,prp,prp of,,,,is hungry,ncped,jighacch,anta prp,1,1
jinati,pr,pr,,,,"wins, is victorious; conquers, defeats; wins",ncped,jin,ati pr,2,1
jinati,pr,pr,,,,"oppresses; deprives someone of property, confiscates someone’s property; fines",ncped,jin,ati pr,2,1
j?ra?at?,fem,"fem, abstr",,,,"the state of being decayed or aged, old age, decay, decrepitude",ncped,n?gavat,? fem,1,1
j?vaj?vaka,masc,masc,,,,"the name of a bird, a sort of a pheasant (or partridge)",ncped,dva?gulakapp,a masc,1,0
jivhadh?tu,fem,fem,,,,the constituent element that is the tongue (as sense organ),ncped,jivhadh?t,u fem,1,0
jivhanicch?kara?,ind,ind,,,,sticking out the tongue,ncped,-,,1,1
jivh?nittaddana,nt,nt,,,,paralyzing the tongue by means of a spell,ncped,jivh?nittaddan,a nt,1,1
jivhaviññeyya,adj,adj,,,,cognizable by the sense-organ that is the tongue,ncped,jivhaviññeyy,a adj,1,1
j?vitaparikkh?r?,masc,masc pl,,,,the requisites of life,ncped,j?vitaparikkh?r,a masc pl,1,1
jiyati,pr,"pr, pass of",,,,"is defeated, loses (something, accusative, in dicing or gambling)",ncped,jiy,ati pr,3,0
jiyati,pr,pr,,,,"grows old; decays, wears out; perishes",ncped,jiy,ati pr,3,1
jiyati,pr,"pr, pass of",,,,is oppressed; is deprived of; loses,ncped,jiy,ati pr,3,1
jotika,nt,nt,,,,"a flint, a tinder box",ncped,jotik,a nt,1,1
jotimant,adj,adj,,,,endowed with light or splendor,ncped,jotim,ant adj,1,1
jotipar?yana,adj,adj,,,,attaining to light or splendor,ncped,jotipar?yan,a adj,1,1
ka cana,idiom,idiom,ka,,,(singular accusative masculine kañcana?); someone; anyone,ncped,!,ka cana,1,0
ka ci,idiom,idiom,ka,,,ka + ci repeated; of whatever kind; of some kind or other,ncped,!,ka ci,1,0
kabal?vacchedaka?,ind,ind,kabala,,,dividing up mouthfuls (of food),ncped,-,,1,0
kaba?ik?,fem,fem,,,,"a poultice, a compress",ncped,khalikh,? fem,1,1
kadal?,fem,fem,,,,the banana or plantation plant,ncped,kadal,? fem,1,1
kadalimigapavarapacctthara?a,adj,adj,kadal?,,,covered with an excellent kadalimiga skin,ncped,kadalimigapavarapacctthara?,a adj,2,1
kadalimigapavarapacctthara?a,nt,nt,kadal?,,,an excellent seating-mat or (a bed with) an excellent covering of a kadalimiga skin,ncped,kadalimigapavarapacctthara?,a nt,2,0
kakacopama,adj,adj,"['kakaca', 'kakac?pama']",,,containing the example of the saw,ncped,kakacopam,a adj,2,1
kakacopama,nt,nt,"['kakaca', 'kakac?pama']",,,"the sutta containing the example of the saw, the Kakac?pamasutta",ncped,kakacopam,a nt,2,1
kakac?pamaov?da,masc,masc,"['kakac?pamov?da', 'kakaca']",,,the instruction using the example of the saw,ncped,kumagg,a masc,1,2
kakac?pamov?da,masc,masc,"['kakac?pamaov?da', 'kakaca']",,,the instruction using the example of the saw,ncped,kumbhak?rak,a masc,1,2
k?kas?sa,adj,adj,k?ka,,,with a crow’s head; whose head is like (the color of) a crow,ncped,k?kas?s,a adj,1,0
k?kassaraka,adj,adj,k?ka,,,"with a voice like a crow’s, hoarse voiced",ncped,k?kassarak,a adj,1,1
k?k?tid?y?,adj,adj,k?ka,,,"flown through by crows, open to the crows",ncped,k?k?tid?y,? adj,1,1
kakkassa,nt,nt,,,,roughness; harshness,ncped,kakkass,a nt,1,1
k?koravasadda,masc,masc,k?ka,,,the sound of cawing crows,ncped,kh?yadhamm,a masc,1,1
k?ku??epaka,adj,adj,k?ka,,,(one) who scares crows; (one) who is able to keep crows off,ncped,k?ku??epak,a adj,1,0
kaku?ap?da,adj,adj,,,,dove footed,ncped,kaku?ap?d,a adj,1,1
kakutthaka,masc,masc,kukutthaka,,,"a kind of bird, perhaps a wild cock",ncped,kumbhak?rap?k,a masc,1,1
k?l?bhata,adj,adj,k?la,,,produced by passing of time,ncped,k?l?bhat,a adj,1,1
kal?buka,nt,nt,,,,a belt of strings or ropes,ncped,kal?buk,a nt,1,1
k?lac?r?,adj,adj,k?la,,,acting at the right time; going (for alms) at a suitable time,ncped,k?lac?r,? adj,2,0
k?lac?r?,adj,adj,k?la,,,acting at the right time; going (for alms) at a suitable time,ncped,k?lac?r,? adj,2,0
k?lac?vara,nt,nt,k?la,,,robe-material given during the appointed period (to be used and allotted by the sa?gha,ncped,k?lac?var,a nt,1,0
k?l?gata,adj,adj,k?la,,,coming at the right time; produced at a suitable time,ncped,k?l?gat,a adj,1,1
kalahappava??hana,nt,nt,kalaha,,,"increasing contention, fomenting strife",ncped,kalahappava??han,a nt,1,3
kalahappava??hanaakiccakar?,adj,adj,kalaha,,,"increasing contention, fomenting strife",ncped,kalahappava??hanaakiccakar,? adj,1,3
kalahappava??han?,fem,fem,kalaha,,,"increasing contention, fomenting strife",ncped,kalahappava??han,? fem,1,3
k?laka,adj,adj,k??aka,,,black; dark; black with dirt,ncped,k?l,aka adj,1,1
k?lak?,fem,fem,k??ak?,,,a squirrel,ncped,gh?sesan,? fem,1,2
k??ak?,fem,fem,k?lak?,,,a squirrel,ncped,cand?bh,? fem,1,2
kalambuk?,fem,fem,,,,a kind of water plant; a (water) creeper,ncped,khurasil,? fem,1,0
k?la?kata,nt,nt,"['k?la', 'k?la?kata']",,,death,ncped,k?la?kat,a nt,1,2
k?la?kiriy?,fem,fem,"['k?la?iriy?', 'k?la']",,,death,ncped,ca?kamanas?l,? fem,1,2
k???nus?rika,masc,masc,"['k???nus?riya', 'k?la']",,,a fragrant root; a powder made from this root,ncped,gandhabbahatthak,a masc,1,2
k???nus?riya,masc,masc,"['k???nus?rika', 'k?la']",,,a fragrant root; a powder made from this root,ncped,gandh?lep,a masc,1,2
k???pabba,nt,nt,k??apabba,,,the knot or joint of a k?l? plant,ncped,k???pabb,a nt,1,1
k??ava??akata,adj,adj,k??ava??a,,,"treated with black wash, smeared with black plaster",ncped,k??ava??akat,a adj,1,1
k?lavato,ind,ind,,,,(from k?la) in good time; early (in the morning),ncped,-,,1,0
kal?yamatta,adj,adj,,,,the size of a chickpea,ncped,kal?yamatt,a? adj,1,1
kal?yapa?ibhasta,nt,nt,,,,a bag of chickpeas (?),ncped,kal?yapa?ibhast,a nt,1,0
kal?yay?sa,masc,masc,,,,chickpea soup,ncped,khajjakabh?jak,a masc,1,1
k?layutta?,ind,ind,k?la,,,suitably for the time or occasion; when it is fitting for a particular time,ncped,-,,1,1
kal?,masc,masc,kali,,,"the losing number of dice; the die causing one to lose, the extra die, the losing die; bad luck; defeat, disaster",ncped,kal,? masc,1,1
ka?imbha,nt,nt,,,,a measure or measuring mark,ncped,ka?imbh,a nt,1,2
ka?imbhaka,nt,nt,,,,a measure or measuring mark,ncped,ka?imbhak,a nt,1,2
ka?i?gara,masc,masc,kali?gara,,,a block or piece of wood; a chopping block; an executioner’s block,ncped,khajjupanak,a masc,1,1
ka??ra,masc,masc,,,,an edible shoot or sprout (especially of a bamboo),ncped,khajj?panak,a masc,1,0
kalis?sana,nt,nt,kali,,,"an instruction, statement influence by anger (?)",ncped,kalis?san,a nt,1,0
kallar?pa,adj,adj,kalla,,,"in excellent spirits, absolutely happy; fit and ready; physically fit",ncped,kallar?p,a adj,1,1
kallat?kusala,adj,adj,"['kalyat?kusala and kallit?kusala', 'kalla']",,,"skilled or proficient in regard to well being, to fitness, to readiness",ncped,kallat?kusal,a adj,1,3
kallit?,fem,"fem, abstr","['kalyat? and kallat?', 'kalla']",,,fitness; strength; well being state of readiness,ncped,garubh?r,? fem,1,2
kallit?kusala,adj,adj,"['kalyat?kusala and kallat?kusala', 'kalla']",,,"skilled or proficient in regard to well being, to fitness, to readiness",ncped,kallit?kusal,a adj,1,3
ka?opi,fem,fem,,,,(occasionally kha?opi) a container; a pot; a basket,ncped,ka?op,i fem,1,0
kalya,adj,adj,kalla,,,"healthy; in good spirits; sound, fit; ready (for); capable, clever; proper, fitting",ncped,kaly,a adj,1,0
kaly??abhattika,adj,adj,kaly??a,,,providing excellent food,ncped,kaly??abhattik,a adj,1,1
kaly???bhij?tika,adj,adj,kaly??a,,,of excellent birth,ncped,kaly???bhij?tik,a adj,1,1
kaly???dhimuttika,adj,adj,kaly??a,,,whose inclinations are good; intent on good,ncped,kaly???dhimuttik,a adj,1,1
kaly??apañña,adj,adj,kaly??a,,,of good understanding; of excellent wisdom,ncped,kaly??apaññ,a adj,1,1
kaly??ap?t?,adj,adj,kaly??a,,,(kaly??ap?ti)also finding joy in what is good,ncped,kaly??ap?t,? adj,1,0
kaly??asa?ghatika,adj,adj,kaly??a,,,having good fortune; fortunate in fate,ncped,kaly??asa?ghatik,a adj,1,1
kalyat?,fem,"fem, abstr","['kallat? and kallit?', 'kalya']",,,fitness; strength; well being state of readiness,ncped,ga?anga??p?han,? fem,1,2
kalyat?kusala,adj,adj,"['kallat?kusala and kallit?kusala', 'kalya']",,,"skilled or proficient in regard to well being, to fitness, to readiness",ncped,kalyat?kusal,a adj,1,3
k?mac?g?,adj,adj,k?ma,,,who gives up sensual pleasures,ncped,k?mac?g,? adj,1,1
k?mahetuka?,ind,ind,k?ma,,,because of sensual pleasures; on account of sensual desire,ncped,-,,1,1
k?mak?m?,adj,adj,k?ma,,,"following one’s various desires, indulging one’s desires; subject to desire for sensual pleasures",ncped,k?mak?m,? adj,1,1
k?makara,adj,adj,"['k?ma?kara', 'k?ma']",,,(the power of) fulfilling the desires (of anyone); (the power of) acting as one likes,ncped,k?makar,a adj,1,0
k?mak?ra,masc,masc,"['k?ma?kara', 'k?ma']",,,"(the power of) fulfilling the desires (of (the power of) fulfilling one’s desires, acting as one likes",ncped,kh?ramatt,a masc,1,0
k?mak?riya,adj,adj,k?ma,,,"acting as one likes, acting willfully",ncped,k?mak?riy,a adj,1,1
k?mal?bh?bhijapp?,adj,adj,k?ma,,,who desires to obtain sensual pleasures,ncped,k?mal?bh?bhijapp,? adj,1,1
kamalap?duk?,fem,fem,,,,a slipper made of kamala grass; (or of lotus leaf (?),ncped,khu?san,? fem,1,0
k?mal?p?,adj,adj,k?ma,,,saying whatever one wants; chattering however one wishes,ncped,k?mal?p,? adj,1,1
k?mamayika,adj,adj,k?ma,,,arising from the pleasure of the senses,ncped,k?mamayik,a adj,1,1
k?mandha,adj,adj,k?ma,,,made blind by passion; blind as to sensual pleasures,ncped,k?mandh,a adj,1,1
k?ma?kara,adj,adj,"['k?makara', 'k?ma']",,,(the power of) fulfilling the desires (of anyone); (the power of) acting as one likes,ncped,k?ma?kar,a adj,1,0
k?mayati,pr,pr,k?meti,,,"wishes, desires; loves",ncped,k?may,ati pr,1,1
kambaliya,adj,adj,kambal?ya,,,(from kambala) woolen; of woolen cloth; woolen cloth,ncped,kambaliy,a adj,2,0
kambaliya,nt,nt,kambal?ya,,,woolen cloth,ncped,kambaliy,a nt,2,1
k?mitth?,fem,fem,k?ma,,,a woman for sexual pleasure,ncped,k?mitth,? fem,1,1
kammadheyya,nt,nt,kamma,,,work activity,ncped,kammadheyy,a nt,1,1
kammak?ra?a,nt,nt,"['kammak?ra??', 'kamma']",,,"torture, torment, pain; punishment",ncped,kammak?ra?,a nt,1,1
kamma?iya,adj,adj,"['kammañña', 'kammaniya']",,,"ready or fit for any act, ready or fit for use",ncped,kamma?iy,a adj,1,1
kamm?rabha??u,masc,masc,kamm?ra,,,a shaven-headed metalworker,ncped,kamm?rabha??,u masc,1,1
kamm?raggar?,fem,fem,kamm?ra,,,(the nozzle of) a smith’s bellows,ncped,kamm?raggar,? fem,1,0
kammayanta,nt,nt,kamma,,,the force or compulsion of action,ncped,kammayant,a nt,1,1
kammayantavigh??ana,adj,adj,kammayanta,,,destroying the force or compulsion of action,ncped,kammayantavigh??an,a adj,1,1
ka?sap?t?,fem,fem,ka?sa,,,a metal bowl,ncped,ka?sap?t,? fem,1,1
ka?sapattharika,masc,masc,ka?sa,,,a dealer in metal (goods),ncped,kunthakipillak,a masc,1,0
k?m?p?d?na,nt,nt,k?ma,,,grasping sensual pleasures; the fuel that is sensual pleasure,ncped,k?m?p?d?n,a nt,1,1
k?m?papatti,fem,fem,k?ma,,,existence in (a sphere of) sexual experience,ncped,k?m?papatt,i fem,1,0
ka?abhakka,adj,adj,ka?a,,,"having bran as one’s food, eating only bran",ncped,ka?abhakk,a adj,1,1
ka?ahoma,nt,nt,ka?a,,,an offering of bran,ncped,ka?ahom,a nt,1,1
kanakatanusannibha,adj,adj,,,,appearing to have golden body; with a body like gold,ncped,kanakatanusannibh,a adj,1,1
k?n?m?,fem,fem,"['ki?n?ma', 'kinn?ma', 'kon?ma', 'ken?m?']",,,of what name? called what?,ncped,gok??,? fem,1,0
ka??acittaka,nt,nt,"['ka??acitraka', 'ka??a']",,,a trick with an arrow,ncped,ka??acittak,a nt,1,1
kandam?laphalabhojana,adj,adj,kantati,,,"eating tubers, roots, and fruit",ncped,kandam?laphalabhojan,a adj,1,1
ka??arachinna,adj,adj,,,,whose tendons have been cut,ncped,ka??arachinn,a adj,1,1
ka??olik?,fem,fem,,,,a basket (or pot),ncped,kumbha??h?nakth,? fem,1,0
ka??upa?icch?d?,fem,fem,ka??u,,,an itch-covering cloth (worn by bhikkhus suffering from the itch),ncped,ka??upa?icch?d,? fem,1,0
ka??uvana,nt,nt,ka???vana,,,"itch, itching; scratching",ncped,ka??uvan,a nt,1,1
ka??uvati,pr,pr,ka???vati,,,itches; scratches,ncped,ka??uv,ati pr,1,1
ka?erulo?ita,adj,adj,,,,disturbed by female elephants,ncped,ka?erulo?it,a adj,1,1
ka?h?bhij?tika,adj,adj,"['ka?h?bhij?tiya', 'ka?ha']",,,"of low birth, basely born",ncped,ka?h?bhij?tik,a adj,1,1
ka?hakhandhaka,adj,adj,ka?ha,,,having a mass of black (hair),ncped,ka?hakhandhak,a adj,1,0
ka?huttara,adj,adj,ka?ha,,,having a black surface,ncped,ka?huttar,a adj,1,1
ka?ika,masc,masc,,,,a small pot; a facial blemish,ncped,kulupak,a masc,1,1
kani??haka,adj,adj,,,,"younger, youngest",ncped,kani??hak,a adj,2,1
kani??haka,masc,masc,,,,a younger brother,ncped,kani??hak,a adj,2,1
kani??hak?,fem,fem,,,,a younger sister,ncped,kani??hak,a adj,1,1
ka?khacchida,adj,adj,"['ka?khachida', 'ka?kh?']",,,removing doubts,ncped,ka?khacchid,a adj,1,2
ka?khachida,adj,adj,"['ka?khacchida', 'ka?kh?']",,,removing doubts,ncped,ka?khachid,a adj,1,2
ka?kha??h?n?ya,adj,adj,"['ka?kh???h?n?ya', 'ka?kh?']",,,"being a source of doubts, causing uncertainty",ncped,ka?kha??h?n?y,a adj,1,2
