pali,pos,grammar,derived from,neg,verb,meaning,category,stem,pattern,same pali,same meaning
abhinimanteti,pr,pr,,,,"invites (someone, accusative) to (instrumental); offers",ncped,abhinimant,eti pr,1,0
abhinimmina,masc,masc,,,,"forming, creating (by magic)",ncped,?mattik?pa?,a masc,1,0
abhinipajj?peti,pr,"pr, caus of ",abhinipajjati,,,"forces to lie down (on, accusative)",ncped,abhinipajj?p,eti pr,1,0
abhinip?tana,nt,nt,,,,throwing down; striking,ncped,abhinip?tan,a nt,1,1
abhinipp??ana,nt,nt,,,,pressing,ncped,abhinipp??an,a nt,1,1
abhinipp??ayati,pr,pr,abhinipp??eti,,,"presses; crushes; oppresses, troubles",ncped,abhinipp??ay,ati pr,1,1
abhinipu?a,adj,adj,,,,"very clever, very acute",ncped,abhinipu?,a adj,1,1
abhiniropan?,fem,fem,,,,"applying, fixing (of thought)",ncped,c?varapacc?s,? fem,1,0
abhinis?d?peti,pr,"pr, caus of ",abhinis?dati,,,forces to sit on,ncped,abhinis?d?p,eti pr,1,2
abhinis?deti,pr,"pr, caus of ",abhinis?dati,,,forces to sit on,ncped,abhinis?d,eti pr,1,2
abhinivajjayati,pr,pr,abhinivajjeti,,,avoids; renounces; throws down,ncped,abhinivajjay,ati pr,1,1
abhiniva??eti,pr,pr,abhinivatteti,,,"gives up, abandons",ncped,abhiniva??,eti pr,1,1
abhiniveseti,pr,"pr, caus of ",abhinivisati,,,adheres to applies oneself to,ncped,abhinives,eti pr,1,1
abhinivuttha,adj,adj,abhinivu??ha,,,having lived in,ncped,abhinivutth,a adj,1,2
abhinivu??ha,adj,adj,abhinivuttha,,,having lived in,ncped,abhinivu??h,a adj,1,2
abhinivutthapubba,adj,adj,abhinivuttha,,,having previously lived in,ncped,abhinivutthapubb,a adj,1,1
abhiññ?takolañña,adj,adj,"['abhij?n?ti', 'abhiññ?ta']",,,of distinguished family,ncped,abhiññ?takolaññ,a adj,1,1
abhiññatara,adj,adj,,,,"wiser, more knowledgeable",ncped,abhiññatar,a adj,1,1
abhippah?r?,adj,adj,abhippas?dati,,,"striking, attacking",ncped,abhippah?r,? adj,1,1
